,code_dep,date,lat,long,tc
167,05,2019-03-17,44.565667,6.502333,6.183928571428595
168,05,2019-03-24,44.565667,6.502333,9.556363636363663
169,05,2019-03-31,44.565667,6.502333,8.928571428571448
170,05,2019-04-07,44.565667,6.502333,6.925000000000023
171,05,2019-04-14,44.565667,6.502333,7.760714285714309
172,05,2019-04-21,44.565667,6.502333,12.594642857142878
173,05,2019-04-28,44.565667,6.502333,10.13214285714288
174,05,2019-05-05,44.565667,6.502333,9.591071428571452
175,05,2019-05-12,44.565667,6.502333,9.830357142857164
176,05,2019-05-19,44.565667,6.502333,11.217857142857168
177,05,2019-05-26,44.565667,6.502333,14.56071428571431
178,05,2019-06-02,44.565667,6.502333,16.06428571428574
179,05,2019-06-09,44.565667,6.502333,18.996428571428595
180,05,2019-06-16,44.565667,6.502333,16.690909090909116
181,05,2019-06-23,44.565667,6.502333,19.53571428571431
182,05,2019-06-30,44.565667,6.502333,26.38750000000002
183,05,2019-07-07,44.565667,6.502333,22.43518518518521
184,05,2019-07-14,44.565667,6.502333,20.630357142857168
185,05,2019-07-21,44.565667,6.502333,21.44285714285716
186,05,2019-07-28,44.565667,6.502333,23.287500000000023
187,05,2019-08-04,44.565667,6.502333,21.553571428571452
188,05,2019-08-11,44.565667,6.502333,24.20357142857145
189,05,2019-08-18,44.565667,6.502333,19.780357142857167
190,05,2019-08-25,44.565667,6.502333,21.41428571428574
191,05,2019-09-01,44.565667,6.502333,21.080357142857164
192,05,2019-09-08,44.565667,6.502333,16.46964285714288
193,05,2019-09-15,44.565667,6.502333,18.128571428571455
194,05,2019-09-22,44.565667,6.502333,19.057142857142882
195,05,2019-09-29,44.565667,6.502333,15.625000000000025
196,05,2019-10-06,44.565667,6.502333,13.439285714285734
197,05,2019-10-13,44.565667,6.502333,12.401785714285738
198,05,2019-10-20,44.565667,6.502333,12.42678571428574
199,05,2019-10-27,44.565667,6.502333,13.32321428571431
200,05,2019-11-03,44.565667,6.502333,10.878571428571457
201,05,2019-11-10,44.565667,6.502333,5.3535714285714535
202,05,2019-11-17,44.565667,6.502333,3.267857142857165
203,05,2019-11-24,44.565667,6.502333,6.073214285714309
204,05,2019-12-01,44.565667,6.502333,6.378571428571454
205,05,2019-12-08,44.565667,6.502333,4.985714285714307
206,05,2019-12-15,44.565667,6.502333,2.119642857142879
207,05,2019-12-22,44.565667,6.502333,6.864285714285742
